,address,category,date,dayofweek,descript,incidntnum,location,pddistrict,resolution,time,x,y
762,1000 Block of WISCONSIN ST,BURGLARY,2007-07-28,Saturday,"BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY",70770681,"{u'latitude': u'37.7542876781547', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.398580716544'}",BAYVIEW,NONE,15:00,-122.398580717,37.7542876782
763,1000 Block of GREEN ST,LARCENY/THEFT,2011-08-16,Tuesday,GRAND THEFT FROM A BUILDING,110656739,"{u'latitude': u'37.7986283900074', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.416421719622'}",CENTRAL,NONE,08:00,-122.41642172,37.79862839
764,100 Block of DAKOTA ST,FAMILY OFFENSES,2012-12-03,Monday,"CHILDREN, ABANDONMENT & NEGLECT OF (GENERAL)",120975143,"{u'latitude': u'37.7536178531447', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.395513264888'}",BAYVIEW,PSYCHOPATHIC CASE,10:35,-122.395513265,37.7536178531
765,1600 Block of 17TH AV,VEHICLE THEFT,2006-06-17,Saturday,STOLEN AUTOMOBILE,60646064,"{u'latitude': u'37.7571168590427', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.474458393491'}",TARAVAL,NONE,23:00,-122.474458393,37.757116859
766,3000 Block of SAN BRUNO AV,WARRANTS,2011-07-15,Friday,WARRANT ARREST,110566956,"{u'latitude': u'37.7233482212763', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.401898005335'}",BAYVIEW,"ARREST, BOOKED",13:11,-122.401898005,37.7233482213
767,25TH AV / FULTON ST,LARCENY/THEFT,2014-04-24,Thursday,GRAND THEFT FROM LOCKED AUTO,140342873,"{u'latitude': u'37.7725658462015', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.484194946272'}",RICHMOND,NONE,20:00,-122.484194946,37.7725658462
768,700 Block of FOLSOM ST,ASSAULT,2009-06-24,Wednesday,BATTERY,90719807,"{u'latitude': u'37.7823579830536', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.400835288756'}",SOUTHERN,NONE,00:01,-122.400835289,37.7823579831
769,200 Block of ROOSEVELT WY,OTHER OFFENSES,2014-01-27,Monday,PROBATION VIOLATION,140079076,"{u'latitude': u'37.7659494990565', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.440437451493'}",PARK,"ARREST, BOOKED",12:15,-122.440437451,37.7659494991
770,1500 Block of SANSOME ST,LARCENY/THEFT,2007-03-14,Wednesday,GRAND THEFT FROM LOCKED AUTO,70264844,"{u'latitude': u'37.8046135005055', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.403530385767'}",CENTRAL,NONE,08:52,-122.403530386,37.8046135005
771,MISSION ST / 20TH ST,LARCENY/THEFT,2013-12-12,Thursday,GRAND THEFT PICKPOCKET,131068785,"{u'latitude': u'37.7586324051562', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.419052694349'}",MISSION,NONE,14:00,-122.419052694,37.7586324052
772,800 Block of FOLSOM ST,BURGLARY,2004-12-10,Friday,"BURGLARY,STORE UNDER CONSTRUCTION, UNLAWFUL ENTRY",41412359,"{u'latitude': u'37.7811666837563', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.402343659494'}",SOUTHERN,NONE,07:30,-122.402343659,37.7811666838
773,5700 Block of GEARY BL,SUSPICIOUS OCC,2011-03-11,Friday,SUSPICIOUS OCCURRENCE,110205728,"{u'latitude': u'37.7803821307757', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.481003317121'}",RICHMOND,NONE,16:35,-122.481003317,37.7803821308
774,2200 Block of GREENWICH ST,SECONDARY CODES,2005-06-05,Sunday,DOMESTIC VIOLENCE,50628925,"{u'latitude': u'37.7987907858178', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.436695193264'}",NORTHERN,NONE,10:30,-122.436695193,37.7987907858
775,1300 Block of SACRAMENTO ST,TRESPASS,2013-04-12,Friday,TRESPASSING,130304996,"{u'latitude': u'37.7921571768233', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.415310401908'}",CENTRAL,COMPLAINANT REFUSES TO PROSECUTE,10:34,-122.415310402,37.7921571768
776,2000 Block of MARKET ST,BURGLARY,2005-05-09,Monday,"BURGLARY OF STORE, UNLAWFUL ENTRY",50515786,"{u'latitude': u'37.769247063207', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.426955631709'}",MISSION,"ARREST, BOOKED",12:00,-122.426955632,37.7692470632
777,200 Block of CAROLINA ST,VEHICLE THEFT,2009-10-28,Wednesday,STOLEN AND RECOVERED VEHICLE,91115393,"{u'latitude': u'37.7655275024982', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.400762014685'}",BAYVIEW,NONE,14:30,-122.400762015,37.7655275025
778,0 Block of 25TH AV,SUSPICIOUS OCC,2013-02-16,Saturday,SUSPICIOUS OCCURRENCE,130139646,"{u'latitude': u'37.7894465570671', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.485866737863'}",RICHMOND,NONE,14:13,-122.485866738,37.7894465571
779,700 Block of STANYAN ST,NON-CRIMINAL,2005-07-03,Sunday,"AIDED CASE, MENTAL DISTURBED",50742848,"{u'latitude': u'37.7687142722405', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.453376250788'}",PARK,NONE,12:00,-122.453376251,37.7687142722
780,7300 Block of GEARY BL,FRAUD,2010-04-15,Thursday,DEFRAUDING OF VEHICLE REPAIRMAN,100350480,"{u'latitude': u'37.779372845316', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.498130477056'}",RICHMOND,NONE,12:15,-122.498130477,37.7793728453
781,800 Block of BRYANT ST,WARRANTS,2009-11-06,Friday,ENROUTE TO DEPARTMENT OF CORRECTIONS,91145691,"{u'latitude': u'37.775420706711', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.403404791479'}",SOUTHERN,NONE,14:30,-122.403404791,37.7754207067
782,300 Block of HAMILTON ST,LARCENY/THEFT,2013-10-27,Sunday,PETTY THEFT FROM UNLOCKED AUTO,130913581,"{u'latitude': u'37.7266552977576', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.409835579883'}",BAYVIEW,NONE,20:00,-122.40983558,37.7266552978
783,0 Block of 7TH ST,ASSAULT,2006-08-30,Wednesday,ASSAULT WITH CAUSTIC CHEMICALS,60924688,"{u'latitude': u'37.7796475431341', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.411385962592'}",SOUTHERN,"ARREST, BOOKED",11:51,-122.411385963,37.7796475431
784,1900 Block of GREAT HY,VEHICLE THEFT,2014-11-05,Wednesday,STOLEN AUTOMOBILE,140941049,"{u'latitude': u'37.7500160305655', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.508130544874'}",TARAVAL,NONE,20:30,-122.508130545,37.7500160306
785,100 Block of HENRY ST,BURGLARY,2009-03-18,Wednesday,"BURGLARY OF FLAT, UNLAWFUL ENTRY",90284446,"{u'latitude': u'37.7666484481542', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.434466532315'}",PARK,NONE,11:30,-122.434466532,37.7666484482
786,3300 Block of FILLMORE ST,LARCENY/THEFT,2008-03-15,Saturday,GRAND THEFT FROM A BUILDING,80345008,"{u'latitude': u'37.800332417759', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.4362159728'}",NORTHERN,NONE,15:00,-122.436215973,37.8003324178
787,1300 Block of GREEN ST,SUSPICIOUS OCC,2013-07-01,Monday,SUSPICIOUS OCCURRENCE,130838440,"{u'latitude': u'37.7979814491242', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.421351234154'}",NORTHERN,NONE,11:00,-122.421351234,37.7979814491
788,300 Block of BROADWAY ST,OTHER OFFENSES,2010-11-06,Saturday,"PERMIT VIOLATION, POLICE (GENERAL)",101034089,"{u'latitude': u'37.7981913307058', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.40367998233'}",CENTRAL,"ARREST, CITED",23:56,-122.403679982,37.7981913307
789,800 Block of MARKET ST,LARCENY/THEFT,2013-03-06,Wednesday,PETTY THEFT SHOPLIFTING,130190585,"{u'latitude': u'37.7852071918419', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.406690592261'}",SOUTHERN,"ARREST, CITED",12:10,-122.406690592,37.7852071918
790,300 Block of BAY ST,ASSAULT,2008-05-11,Sunday,AGGRAVATED ASSAULT WITH BODILY FORCE,80492295,"{u'latitude': u'37.8056654684523', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.412782236976'}",CENTRAL,"ARREST, BOOKED",01:33,-122.412782237,37.8056654685
791,500 Block of 7TH ST,WARRANTS,2010-09-14,Tuesday,ENROUTE TO OUTSIDE JURISDICTION,100853321,"{u'latitude': u'37.7736155134965', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.404011003671'}",SOUTHERN,"ARREST, BOOKED",19:48,-122.404011004,37.7736155135
792,HAIGHT ST / MASONIC AV,OTHER OFFENSES,2014-08-11,Monday,VIOLATION OF MUNICIPAL CODE,140669075,"{u'latitude': u'37.7702081959172', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.4453467866'}",PARK,"ARREST, BOOKED",10:33,-122.445346787,37.7702081959
793,POLK ST / UNION ST,LARCENY/THEFT,2006-07-23,Sunday,GRAND THEFT FROM LOCKED AUTO,60784012,"{u'latitude': u'37.7987607166938', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.422340020122'}",NORTHERN,NONE,23:30,-122.42234002,37.7987607167
794,POTRERO AV / 24TH ST,VEHICLE THEFT,2003-03-05,Wednesday,STOLEN AUTOMOBILE,30270740,"{u'latitude': u'37.7530042877269', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.406338412693'}",MISSION,NONE,21:30,-122.406338413,37.7530042877
795,0 Block of BLYTHDALE AV,ROBBERY,2011-08-27,Saturday,ATTEMPTED ROBBERY RESIDENCE WITH A GUN,110687132,"{u'latitude': u'37.7106612347749', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.417720424652'}",INGLESIDE,NONE,04:25,-122.417720425,37.7106612348
796,3000 Block of 22ND ST,ASSAULT,2004-09-09,Thursday,WILLFUL CRUELTY TO CHILD,41045825,"{u'latitude': u'37.7556120190745', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.414925208812'}",MISSION,NONE,00:01,-122.414925209,37.7556120191
797,2900 Block of 18TH ST,MISSING PERSON,2010-05-23,Sunday,FOUND PERSON,100481041,"{u'latitude': u'37.7616166397327', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.411574230927'}",MISSION,LOCATED,16:00,-122.411574231,37.7616166397
798,SHANNON ST / GEARY ST,WARRANTS,2014-03-16,Sunday,WARRANT ARREST,140223160,"{u'latitude': u'37.786834135378', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.412343304896'}",CENTRAL,"ARREST, BOOKED",10:45,-122.412343305,37.7868341354
799,OCEAN AV / LEE AV,OTHER OFFENSES,2008-04-04,Friday,MISCELLANEOUS INVESTIGATION,80349771,"{u'latitude': u'37.7234556762132', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.454114133559'}",TARAVAL,NONE,23:00,-122.454114134,37.7234556762
800,ROUSSEAU ST / BOSWORTH ST,OTHER OFFENSES,2006-08-16,Wednesday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",60867969,"{u'latitude': u'37.7333118541351', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.430279612614'}",INGLESIDE,"ARREST, CITED",07:40,-122.430279613,37.7333118541
801,5800 Block of GEARY BL,VANDALISM,2014-08-09,Saturday,"MALICIOUS MISCHIEF, VANDALISM",146161421,"{u'latitude': u'37.7803342835205', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.482070243559'}",RICHMOND,NONE,18:00,-122.482070244,37.7803342835
802,2000 Block of MISSION ST,OTHER OFFENSES,2010-12-30,Thursday,RESISTING ARREST,101196134,"{u'latitude': u'37.7642205603745', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.41965834371'}",MISSION,"ARREST, CITED",00:23,-122.419658344,37.7642205604
803,800 Block of MARKET ST,LARCENY/THEFT,2013-04-13,Saturday,PETTY THEFT WITH PRIOR,130328479,"{u'latitude': u'37.7841893501425', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.407633520742'}",SOUTHERN,"ARREST, BOOKED",11:15,-122.407633521,37.7841893501
804,300 Block of STOCKTON ST,LARCENY/THEFT,2009-05-09,Saturday,PETTY THEFT FROM A BUILDING,90487214,"{u'latitude': u'37.7887345763527', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.406886503606'}",CENTRAL,NONE,23:30,-122.406886504,37.7887345764
805,100 Block of 16TH AV,STOLEN PROPERTY,2006-09-01,Friday,RECEIVING STOLEN PROPERTY,61017616,"{u'latitude': u'37.785235711069', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.475366947684'}",RICHMOND,NONE,10:00,-122.475366948,37.7852357111
806,300 Block of VANNESS AV,SUSPICIOUS OCC,2009-09-30,Wednesday,SUSPICIOUS OCCURRENCE,91008942,"{u'latitude': u'37.7791854168673', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.419916164613'}",NORTHERN,NONE,00:01,-122.419916165,37.7791854169
807,400 Block of PIERCE ST,BURGLARY,2004-08-15,Sunday,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",40932203,"{u'latitude': u'37.7740128705946', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.434271767739'}",PARK,NONE,15:00,-122.434271768,37.7740128706
808,0 Block of ERIE ST,DRUG/NARCOTIC,2005-04-25,Monday,POSSESSION OF NARCOTICS PARAPHERNALIA,50457348,"{u'latitude': u'37.769312224056', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.416698951088'}",MISSION,"ARREST, CITED",10:56,-122.416698951,37.7693122241
809,1300 Block of POLK ST,LARCENY/THEFT,2013-11-18,Monday,GRAND THEFT FROM A BUILDING,130977474,"{u'latitude': u'37.7894014789877', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.420379009339'}",NORTHERN,NONE,12:00,-122.420379009,37.789401479
810,100 Block of CORONA ST,LARCENY/THEFT,2006-02-28,Tuesday,GRAND THEFT FROM LOCKED AUTO,66015289,"{u'latitude': u'37.7244048814203', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.466235239779'}",TARAVAL,NONE,05:00,-122.46623524,37.7244048814
811,HYDE ST / OFARRELL ST,DRUG/NARCOTIC,2008-09-24,Wednesday,SALE OF BASE/ROCK COCAINE,81017022,"{u'latitude': u'37.7853750846376', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.416261836834'}",TENDERLOIN,NONE,17:45,-122.416261837,37.7853750846
812,200 Block of 12TH AV,SUSPICIOUS OCC,2011-07-25,Monday,SUSPICIOUS OCCURRENCE,110597547,"{u'latitude': u'37.7835736325203', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.470843346444'}",RICHMOND,NONE,22:33,-122.470843346,37.7835736325
813,1900 Block of MISSION ST,LARCENY/THEFT,2006-05-20,Saturday,PETTY THEFT WITH PRIOR,60535304,"{u'latitude': u'37.7658510977435', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.41967661615'}",MISSION,"ARREST, BOOKED",10:35,-122.419676616,37.7658510977
814,3800 Block of MISSION ST,DRUG/NARCOTIC,2014-03-03,Monday,POSSESSION OF MARIJUANA,140181687,"{u'latitude': u'37.7356945008365', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.424519934269'}",INGLESIDE,"ARREST, BOOKED",02:00,-122.424519934,37.7356945008
815,900 Block of MARKET ST,LARCENY/THEFT,2004-04-13,Tuesday,PETTY THEFT WITH PRIOR,40424056,"{u'latitude': u'37.7835699386918', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.408421116922'}",SOUTHERN,"ARREST, BOOKED",18:30,-122.408421117,37.7835699387
816,0 Block of BEHR AV,FRAUD,2013-04-28,Sunday,"CREDIT CARD, THEFT BY USE OF",130443710,"{u'latitude': u'37.757738797187', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.454877943757'}",PARK,NONE,18:19,-122.454877944,37.7577387972
817,1300 Block of 43RD AV,DRUG/NARCOTIC,2009-01-07,Wednesday,POSSESSION OF MARIJUANA,90025682,"{u'latitude': u'37.7614820910625', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.502708098898'}",TARAVAL,NONE,14:00,-122.502708099,37.7614820911
818,500 Block of BAY ST,BURGLARY,2014-01-01,Wednesday,"BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY",140002801,"{u'latitude': u'37.8052582935955', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.416069622787'}",CENTRAL,NONE,23:45,-122.416069623,37.8052582936
819,600 Block of POST ST,NON-CRIMINAL,2010-11-12,Friday,"AIDED CASE, MENTAL DISTURBED",101051049,"{u'latitude': u'37.7878065009609', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.412658072915'}",CENTRAL,PSYCHOPATHIC CASE,07:20,-122.412658073,37.787806501
820,2100 Block of MARKET ST,VANDALISM,2010-09-30,Thursday,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",100910937,"{u'latitude': u'37.7666521474762', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.429788986988'}",MISSION,"ARREST, BOOKED",21:00,-122.429788987,37.7666521475
821,1300 Block of 9TH AV,VANDALISM,2013-04-24,Wednesday,"MALICIOUS MISCHIEF, GRAFFITI",130335985,"{u'latitude': u'37.763085116614', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.466313420543'}",TARAVAL,JUVENILE CITED,16:30,-122.466313421,37.7630851166
822,100 Block of TURK ST,OTHER OFFENSES,2013-05-30,Thursday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",130445120,"{u'latitude': u'37.7830529510782', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.411593095704'}",TENDERLOIN,"ARREST, CITED",10:24,-122.411593096,37.7830529511
823,100 Block of CRESCENT AV,LARCENY/THEFT,2009-10-23,Friday,PETTY THEFT FROM LOCKED AUTO,91093175,"{u'latitude': u'37.7351591086088', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.421143845533'}",INGLESIDE,NONE,13:30,-122.421143846,37.7351591086
824,0 Block of LANDERS ST,WARRANTS,2010-05-04,Tuesday,WARRANT ARREST,100412121,"{u'latitude': u'37.7669800711659', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.427717709395'}",MISSION,"ARREST, BOOKED",13:19,-122.427717709,37.7669800712
825,1000 Block of ALABAMA ST,SECONDARY CODES,2014-05-22,Thursday,JUVENILE INVOLVED,140428031,"{u'latitude': u'37.7550676731544', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.411263892487'}",MISSION,LOCATED,11:20,-122.411263892,37.7550676732
826,400 Block of HOWARD ST,NON-CRIMINAL,2006-04-03,Monday,COURTESY REPORT,60379516,"{u'latitude': u'37.7889175244648', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.39565017695'}",SOUTHERN,NONE,08:00,-122.395650177,37.7889175245
827,0 Block of PHELAN AV,LARCENY/THEFT,2011-03-09,Wednesday,PETTY THEFT FROM A BUILDING,110199206,"{u'latitude': u'37.7256933575703', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.452289660492'}",INGLESIDE,NONE,01:00,-122.45228966,37.7256933576
828,300 Block of POWELL ST,NON-CRIMINAL,2007-10-08,Monday,"DEATH REPORT, CAUSE UNKNOWN",71035131,"{u'latitude': u'37.7878271137225', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.408384275542'}",CENTRAL,NONE,23:30,-122.408384276,37.7878271137
829,400 Block of OXFORD ST,FORGERY/COUNTERFEITING,2005-02-25,Friday,"CHECKS, FORGERY (MISDEMEANOR)",50243614,"{u'latitude': u'37.724372605069', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.418569269078'}",INGLESIDE,NOT PROSECUTED,00:01,-122.418569269,37.7243726051
830,800 Block of BRYANT ST,ROBBERY,2006-05-20,Saturday,ROBBERY ON THE STREET WITH A GUN,60538201,"{u'latitude': u'37.775420706711', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.403404791479'}",SOUTHERN,NONE,07:30,-122.403404791,37.7754207067
831,2300 Block of POST ST,FRAUD,2006-05-28,Sunday,"CREDIT CARD, THEFT BY USE OF",60571831,"{u'latitude': u'37.7842371111665', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.440760813886'}",RICHMOND,NOT PROSECUTED,02:00,-122.440760814,37.7842371112
832,2200 Block of HAYES ST,LARCENY/THEFT,2013-07-22,Monday,GRAND THEFT FROM A BUILDING,130603732,"{u'latitude': u'37.7730528713382', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.453481345535'}",PARK,NONE,18:30,-122.453481346,37.7730528713
833,1000 Block of SOUTH VAN NESS AV,VANDALISM,2013-01-01,Tuesday,"MALICIOUS MISCHIEF, GRAFFITI",130000100,"{u'latitude': u'37.7563562905072', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.416572667483'}",MISSION,"ARREST, CITED",00:04,-122.416572667,37.7563562905
834,1200 Block of 46TH AV,SUSPICIOUS OCC,2013-01-04,Friday,SUSPICIOUS OCCURRENCE,130010381,"{u'latitude': u'37.763210588602', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.506054933005'}",TARAVAL,NONE,11:30,-122.506054933,37.7632105886
835,1800 Block of 25TH ST,SUSPICIOUS OCC,2013-03-15,Friday,INVESTIGATIVE DETENTION,130217032,"{u'latitude': u'37.7523066322263', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.397497373637'}",BAYVIEW,NOT PROSECUTED,15:46,-122.397497374,37.7523066322
836,1400 Block of 15TH ST,VANDALISM,2003-10-27,Monday,"MALICIOUS MISCHIEF, VANDALISM",31260356,"{u'latitude': u'37.7668931278499', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.417102243898'}",MISSION,NONE,00:31,-122.417102244,37.7668931278
837,1000 Block of SANSOME ST,ASSAULT,2005-02-28,Monday,STALKING,50230730,"{u'latitude': u'37.7998620462817', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.402445775732'}",CENTRAL,NONE,11:00,-122.402445776,37.7998620463
838,1300 Block of CASTRO ST,OTHER OFFENSES,2008-03-06,Thursday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",80241707,"{u'latitude': u'37.7508960319364', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.433978272453'}",MISSION,"ARREST, CITED",17:20,-122.433978272,37.7508960319
